Sample_num,site,date,Month,Season,SeasonA,Year,Jul_date,Temp.ysi,Sal.ysi,TL,SL,body_wwt,sex,liver_wwt,stom_full_code,stomach_per_full,HSIwet,HSI_wet,lipid_num,liverFA,muscleFA,Harp,Gammarid,Poly,calanoid,crab,Caprellidae,Isopod,gastropod,Corphiidae,Shrimp,cumacea,Euphasid,Mysid,OTHER,Harp4,Gammarid4,Poly4,calanoid4,crab4,Caprellidae4,Isopod4,gastropod4,Corphiidae4,Shrimp4,cumacea4
106,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,73,68,2.9848,I,0.0262,4,4.24,0.010401779,0.009251412,107L,3.299,96.701,0,9.734513274,6.637168142,0,0,83.62831858,0,0,0,0,0,0,0,0,0,1.7664,1.6051,0,0,3.024,0,0,0,0,0
107,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,67,62,2.5592,I,0.0286,3,3.56,0.013569294,0.011724194,108L,6.755,93.245,0.925925926,99.07407407,0,0,0,0,0,0,0,0,0,0,0,0,0.9809,3.1549,0,0,0,0,0,0,0,0,0
108,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,52,48,1.1657,I,0.0079,4,5.06,0.008274851,0.007189661,109L,1.818,98.182,4.347826087,0,0,0,0,39.13043478,0,56.52173913,0,0,0,0,0,0,1.444,0,0,0,0,2.5011,0,2.7419,0,0,0
109,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,57,53,1.5418,I,0.0111,5,7.58,0.009162952,0.007851181,110L,2.112,97.888,62.16216216,1.351351351,0,0,0,32.43243243,0,0,4.054054054,0,0,0,0,0,2.8079,1.0782,0,0,0,2.3864,0,0,1.419,0,0
110,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,67,62,2.3368,I,0.0169,4,4.96,0.008681358,0.007667877,111L,4.263,95.737,16.09195402,32.18390805,0,0,0,51.72413793,0,0,0,0,0,0,0,0,2.0029,2.3818,0,0,0,2.6818,0,0,0,0,0
111,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,67,62,2.2965,I,0.0197,5,5.95,0.010370604,0.009205177,112L,3.027,96.973,49.03846154,1.923076923,26.92307692,0,0,0.961538462,0,0,4.807692308,0,16.34615385,0,0,0,2.6463,1.1776,2.2779,0,0,0.9902,0,0,1.4808,0,2.0107
112,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,72,67,2.9751,I,0.0199,4,5.07,0.007891502,0.007095739,113L,2.084,97.916,0.327868852,0.327868852,4.918032787,0,0.327868852,94.09836066,0,0,0,0,0,0,0,0,0.7567,0.7567,1.4892,0,0.7567,3.1146,0,0,0,0,0
113,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,62,57,2.1402,I,0.0186,5,9.27,0.010547805,0.009670878,114L,7.197,92.803,10.95541401,4.968152866,75.2866242,0,0,8.662420382,0,0,0,0.127388535,0,0,0,0,1.8193,1.493,2.9456,0,0,1.7156,0,0,0,0.5974,0
114,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,67,62,2.3395,I,0.0122,4,4.11,0.006091776,0.005468155,115L,1.832,98.168,0.552486188,0,0,0,0,0,86.1878453,0,13.25966851,0,0,0,0,0,0.8621,0,0,0,0,0,3.0469,0,1.9082,0,0
115,EG South,7/16/2018,July,Summer,Jun-Jul,2018,197,10.9,30.9,57,52,1.3996,I,0.0117,4,6.19,0.010072314,0.008991009,116L,7.292,92.708,72.5,22.5,0,0,0,5,0,0,0,0,0,0,0,0,2.918,2.1779,0,0,0,1.4953,0,0,0,0,0
