Lipid Sample ID,Fish # (to pair liver & flesh),Alisa's Age Estimate,Sex,Year,Month,Day,Site,Bay,Species,Standard Length (mm),Total Length (mm),Whole Body Weight (g) ,Fulton's K,HIS,Total_FA_mg,PerLiverFA,PerMuscleFA
373L,176,0,I,2020,8,,EG South,Cook Bay,Pacific cod,88,95,7.516,1.103,0.375,26.879,0.841,99.159
380L,183,0,I,2020,8,,EG South,Cook Bay,Pacific cod,87,94,6.827,1.037,0.628,27.048,3.307,96.693
181L,85,0,M,2018,9,,EG West,Cook Bay,Pacific cod,91,98,7.987,1.06,0.432,27.145,4.065,95.935
334L,124,0,I,2020,9,,EG South,Cook Bay,Pacific cod,96,104,9.283,1.049,0.472,27.232,1.656,98.344
407L,210,0,I,2020,10,,EG South,Cook Bay,Pacific cod,96,103,8.639,0.976,0.545,27.313,2.538,97.462
160L,64,0,M,2018,12,,EG West,Cook Bay,Pacific cod,84,91,5.752,0.97,2.012,27.844,34.893,65.107
149L,53,0,M,2018,10,,EG West,Cook Bay,Pacific cod,84,90,6.268,1.058,0.818,28.921,16.096,83.904
378L,181,0,I,2020,8,,EG South,Cook Bay,Pacific cod,87,95,6.691,1.016,0.447,29.224,1.082,98.918
147L,51,0,M,2018,10,,EG West,Cook Bay,Pacific cod,84,91,6.138,1.036,0.992,29.52,16.336,83.664
155L,59,0,M,2018,10,,EG West,Cook Bay,Pacific cod,94,100,9.293,1.119,0.457,29.66,12.03,87.97
136L,40,0,F,2018,8,,Lam East,Cook Bay,Pacific cod,91,98,9.287,1.232,0.714,30.948,3.887,96.113
340L,130,0,I,2020,9,,EG South,Cook Bay,Pacific cod,84,91,5.846,0.986,1.67,30.952,14.759,85.241
335L,125,0,I,2020,9,,EG South,Cook Bay,Pacific cod,97,105,9.86,1.08,0.473,30.966,3.117,96.883
153L,57,0,M,2018,10,,EG West,Cook Bay,Pacific cod,99,106,9.866,1.017,0.715,31.158,4.964,95.036
121L,25,0,F,2018,8,,EG South,Cook Bay,Pacific cod,83,87,7.042,1.232,1.433,31.57,6.45,93.55
139L,43,0,M,2018,10,,EG South,Cook Bay,Pacific cod,87,94,7.98,1.212,0.872,31.598,19.58,80.42
403L,206,0,I,2020,10,,EG South,Cook Bay,Pacific cod,98,105,9.615,1.022,0.326,31.821,0.824,99.176
337L,127,0,I,2020,9,,EG South,Cook Bay,Pacific cod,93,102,8.491,1.056,0.685,31.889,7.438,92.562
126L,30,0,F,2018,8,,EG South,Cook Bay,Pacific cod,91,98,9.403,1.248,0.955,32.157,8.17,91.83
376L,179,0,I,2020,8,,EG South,Cook Bay,Pacific cod,91,98,7.867,1.044,0.383,32.241,0.89,99.11
392L,195,0,I,2020,10,,EG South,Cook Bay,Pacific cod,83,90,6.053,1.059,0.963,32.275,2.848,97.152
137L,41,0,M,2018,10,,EG South,Cook Bay,Pacific cod,93,98,9.278,1.153,0.505,34.254,5.256,94.744
400L,203,0,I,2020,10,,EG South,Cook Bay,Pacific cod,94,102,8.28,0.997,1.263,34.528,19.59,80.41
150L,54,0,M,2018,10,,EG West,Cook Bay,Pacific cod,88,94,7.785,1.142,1.356,34.873,21.145,78.855
320L,110,0,M,2020,11,,EG West,Cook Bay,Pacific cod,104,113,10.055,0.894,0.921,37.285,7.672,92.328
141L,45,0,M,2018,10,,EG West,Cook Bay,Pacific cod,91,97,7.486,0.993,1.015,38.646,12.398,87.602
156L,60,0,M,2018,10,,Lam North,Cook Bay,Pacific cod,112,120,15.989,1.138,0.944,41.378,16.366,83.634
125L,29,0,F,2018,8,,EG South,Cook Bay,Pacific cod,94,100,9.437,1.136,1.531,42.379,10.7,89.3
333L,123,0,I,2020,9,,EG South,Cook Bay,Pacific cod,105,114,13.035,1.126,0.685,43.03,4.782,95.218
145L,49,0,M,2018,10,,EG West,Cook Bay,Pacific cod,91,98,7.85,1.042,2.451,46.797,68.634,31.366
159L,63,0,M,2018,12,,EG West,Cook Bay,Pacific cod,96,103,8.283,0.936,1.452,49.824,20.717,79.283
