Species,Specimen_num,bay,site #,date,Month,Year,J_date,temp,sal,capture method,age,TL,SL,wwt,sex,liver_wwt,mksht_body_evics_wwt,per_stom_wt,Kwet,Kwet_evic,HIS_wet,per_liver_FA,per_musc_FA,liver_bi,muscle_bi,WholeAnimal,liver_FA_conc,muscle_FA_conc
Pacific cod,EFH18/19-136,Cook Bay,EG South,10/8/2018,Oct,2018,281,9.3,30,beach seine,0,98,93,9.2782,M,0.0469,7.5936,8.82,0.99,0.89,0.5574573,5.256,94.744,0.05256,0.94744,4.511,38.386,4.274
Pacific cod,EFH18/19-219,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,104,96,9.2834,I,0.0438,NA,3.22,0.83,0.79,0.489889,1.656,98.344,0.01656,0.98344,3.046,10.295,2.995
Pacific cod,EFH18/19-135,Cook Bay,Lam East,8/21/2018,Aug,2018,233,11.4,31,beach seine,0,98,91,9.2871,F,0.0663,7.6997,6.33,0.99,0.92,0.76801,3.887,96.113,0.03887,0.96113,4.019,18.145,3.863
Pacific cod,EFH18/19-154,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,100,94,9.2933,M,0.0425,7.7776,7.02,0.93,0.86,0.4942608,11.133,88.867,0.11133,0.88867,4.121,83.954,3.662
Pacific cod,EFH18/19-125,Cook Bay,EG South,8/21/2018,Aug,2018,233,11.7,30.4,beach seine,0,98,91,9.4029,F,0.0898,7.5418,7.72,1,0.91,1.0457669,8.17,91.83,0.0817,0.9183,4.264,29.257,3.915
Pacific cod,EFH18/19-124,Cook Bay,EG South,8/21/2018,Aug,2018,233,11.7,30.4,beach seine,0,100,94,9.4368,F,0.1445,7.9735,4.9,0.94,0.88,1.6364295,10.7,89.3,0.107,0.893,5.315,31.380,4.746
Pacific cod,EFH18/19-301,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,105,98,9.6148,I,0.0313,NA,4.7,0.83,0.79,0.3427508,0.824,99.176,0.00824,0.99176,3.485,8.379,3.456
Pacific cod,EFH18/19-220,Cook Bay,EG South,9/16/2020,Sept,2020,260,11.5,31.5,beach seine,0,105,97,9.8596,I,0.0466,NA,5.95,0.85,0.8,0.5050724,3.117,96.883,0.03117,0.96883,3.356,20.710,3.252
Pacific cod,EFH18/19-152,Cook Bay,EG West,10/8/2018,Oct,2018,281,8.2,31,beach seine,0,106,99,9.8655,M,0.0705,8.6966,3.43,0.83,0.79,0.7454874,4.964,95.036,0.04964,0.95036,3.583,21.940,3.405
Pacific cod,EFH18/19-205,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,113,104,10.0547,M,0.0926,NA,2.95,0.7,0.67,0.9580169,7.672,92.328,0.07672,0.92328,3.857,30.890,3.561
Pacific cod,EFH18/19-202,Cook Bay,EG South,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,107,99,10.2128,M,0.2166,NA,6.43,0.83,0.76,2.3191571,50.223,49.777,0.50223,0.49777,8.643,187.177,4.302
Pacific cod,EFH18/19-306,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,109,101,10.7011,I,0.1593,NA,3.51,0.83,0.79,1.5669263,27.345,71.625,0.27345,0.71625,5.270,95.429,3.774
Pacific cod,EFH18/19-206,Cook Bay,EG West,11/13/2020,Nov,2020,318,5.3,31.6,beach seine,0,112,103,10.7928,M,0.1693,NA,3.9,0.77,0.73,1.6593322,41.015,58.985,0.41015,0.58985,5.003,123.651,2.951
Pacific cod,EFH18/19-303,Cook Bay,EG South,10/16/2020,Oct,2020,290,8.6,31.4,beach seine,0,107,99,11.049,I,0.0812,NA,6.55,0.9,0.84,0.7926823,6.323,93.677,0.06323,0.93677,1.918,15.296,1.796
Pacific cod,EFH18/19-285,Cook Bay,EG South,8/21/2020,Aug,2020,234,13.1,31.7,beach seine,0,108,101,11.1528,I,0.0794,NA,6.3,0.89,0.82,0.7655816,4.382,95.618,0.04382,0.95618,5.052,28.917,4.830
Pacific cod,EFH18/19-177,Cook Bay,EG West,9/25/2018,Sept,2018,268,11,32,beach seine,0,106,99,11.6376,M,0.0527,9.6177,9.57,0.98,0.88,0.503266,8.474,91.526,0.08474,0.91526,2.641,40.847,2.417
